,id,group,temp,n_tokens,is_solution,score_sign,time
0,g0ktlz6i,whole-sweep-3,0.6,307,1,1,24.795344352722168
1,g0ktlz6i,whole-sweep-3,0.6,328,0,-1,22.81442952156067
2,g0ktlz6i,whole-sweep-3,0.6,398,0,-1,27.65945529937744
3,g0ktlz6i,whole-sweep-3,0.6,273,1,1,21.91735553741455
4,g0ktlz6i,whole-sweep-3,0.6,81,0,1,7.888618469238281
5,g0ktlz6i,whole-sweep-3,0.6,285,0,-1,19.981579542160034
6,g0ktlz6i,whole-sweep-3,0.6,320,0,-1,22.070226669311523
7,g0ktlz6i,whole-sweep-3,0.6,330,0,-1,22.59112238883972
8,g0ktlz6i,whole-sweep-3,0.6,647,0,-1,45.58259201049805
9,g0ktlz6i,whole-sweep-3,0.6,48,0,1,5.77085542678833
10,g0ktlz6i,whole-sweep-3,0.6,396,0,-1,28.211288928985596
11,g0ktlz6i,whole-sweep-3,0.6,47,0,1,5.6889965534210205
12,g0ktlz6i,whole-sweep-3,0.6,56,0,1,6.280210971832275
13,g0ktlz6i,whole-sweep-3,0.6,342,0,-1,23.61037826538086
14,g0ktlz6i,whole-sweep-3,0.6,41,0,1,5.331191062927246
15,g0ktlz6i,whole-sweep-3,0.6,50,0,1,5.878745794296265
16,g0ktlz6i,whole-sweep-3,0.6,260,0,-1,17.83121657371521
17,g0ktlz6i,whole-sweep-3,0.6,50,0,1,5.877513647079468
18,g0ktlz6i,whole-sweep-3,0.6,596,0,-1,43.01965045928955
19,g0ktlz6i,whole-sweep-3,0.6,41,0,1,2.7571232318878174
20,g0ktlz6i,whole-sweep-3,0.6,47,0,1,5.704672813415527
21,g0ktlz6i,whole-sweep-3,0.6,279,0,-1,19.345083951950073
22,g0ktlz6i,whole-sweep-3,0.6,254,0,-1,17.41535234451294
23,g0ktlz6i,whole-sweep-3,0.6,567,0,-1,39.08134698867798
24,g0ktlz6i,whole-sweep-3,0.6,622,0,-1,43.22724962234497
25,g0ktlz6i,whole-sweep-3,0.6,429,0,-1,29.27795672416687
26,g0ktlz6i,whole-sweep-3,0.6,468,0,-1,32.40327000617981
27,g0ktlz6i,whole-sweep-3,0.6,531,0,-1,36.446401834487915
28,g0ktlz6i,whole-sweep-3,0.6,326,0,-1,22.336207151412964
29,g0ktlz6i,whole-sweep-3,0.6,269,0,-1,18.443711757659912
30,g0ktlz6i,whole-sweep-3,0.6,267,0,-1,18.498788118362427
31,g0ktlz6i,whole-sweep-3,0.6,338,0,-1,23.238296508789062
32,g0ktlz6i,whole-sweep-3,0.6,300,0,-1,20.802573442459106
33,g0ktlz6i,whole-sweep-3,0.6,42,0,1,5.358761787414551
34,g0ktlz6i,whole-sweep-3,0.6,279,0,1,21.91494131088257
35,g0ktlz6i,whole-sweep-3,0.6,291,0,-1,20.224772214889526
36,g0ktlz6i,whole-sweep-3,0.6,584,0,-1,40.01156830787659
37,g0ktlz6i,whole-sweep-3,0.6,325,0,-1,21.75108003616333
38,g0ktlz6i,whole-sweep-3,0.6,293,0,-1,19.61392569541931
39,g0ktlz6i,whole-sweep-3,0.6,512,0,-1,34.326709508895874
40,g0ktlz6i,whole-sweep-3,0.6,286,0,-1,19.26485562324524
41,g0ktlz6i,whole-sweep-3,0.6,466,0,-1,31.29859209060669
42,g0ktlz6i,whole-sweep-3,0.6,256,0,-1,17.163694620132446
43,g0ktlz6i,whole-sweep-3,0.6,396,0,-1,26.52653431892395
44,g0ktlz6i,whole-sweep-3,0.6,576,0,-1,38.91409420967102
45,g0ktlz6i,whole-sweep-3,0.6,390,0,-1,26.012831926345825
46,g0ktlz6i,whole-sweep-3,0.6,608,0,-1,41.97053861618042
47,g0ktlz6i,whole-sweep-3,0.6,295,0,-1,19.59968614578247
48,g0ktlz6i,whole-sweep-3,0.6,303,0,1,22.9511878490448
49,g0ktlz6i,whole-sweep-3,0.6,545,0,-1,36.616612911224365
50,g0ktlz6i,whole-sweep-3,0.6,264,0,-1,17.562998056411743
51,g0ktlz6i,whole-sweep-3,0.6,403,0,-1,26.767559051513672
52,g0ktlz6i,whole-sweep-3,0.6,469,0,-1,31.495583057403564
53,g0ktlz6i,whole-sweep-3,0.6,276,0,-1,18.479551792144775
54,g0ktlz6i,whole-sweep-3,0.6,49,0,1,5.602884531021118
55,g0ktlz6i,whole-sweep-3,0.6,277,0,-1,18.323126554489136
56,g0ktlz6i,whole-sweep-3,0.6,380,0,-1,25.091830492019653
57,g0ktlz6i,whole-sweep-3,0.6,383,0,-1,25.655861139297485
58,g0ktlz6i,whole-sweep-3,0.6,358,0,-1,24.96857523918152
59,g0ktlz6i,whole-sweep-3,0.6,287,0,-1,19.23608946800232
60,g0ktlz6i,whole-sweep-3,0.6,312,0,-1,20.66552472114563
61,g0ktlz6i,whole-sweep-3,0.6,249,0,-1,16.807664155960083
62,g0ktlz6i,whole-sweep-3,0.6,286,0,-1,19.188776969909668
63,g0ktlz6i,whole-sweep-3,0.6,440,0,-1,29.39583158493042
64,g0ktlz6i,whole-sweep-3,0.6,321,0,-1,21.493902683258057
65,g0ktlz6i,whole-sweep-3,0.6,715,0,-1,48.60886526107788
66,g0ktlz6i,whole-sweep-3,0.6,277,0,-1,18.384024143218994
67,g0ktlz6i,whole-sweep-3,0.6,262,0,-1,17.468684196472168
68,g0ktlz6i,whole-sweep-3,0.6,42,0,1,2.6777665615081787
69,g0ktlz6i,whole-sweep-3,0.6,481,0,-1,32.04724097251892
70,g0ktlz6i,whole-sweep-3,0.6,395,0,-1,26.25899052619934
71,g0ktlz6i,whole-sweep-3,0.6,480,0,-1,32.943458557128906
72,g0ktlz6i,whole-sweep-3,0.6,266,0,-1,17.699679851531982
73,g0ktlz6i,whole-sweep-3,0.6,761,0,-1,52.468889474868774
74,g0ktlz6i,whole-sweep-3,0.6,274,0,-1,18.216530084609985
75,g0ktlz6i,whole-sweep-3,0.6,286,0,-1,19.137344121932983
76,g0ktlz6i,whole-sweep-3,0.6,51,0,1,5.725644588470459
77,g0ktlz6i,whole-sweep-3,0.6,306,0,-1,20.31268334388733
78,g0ktlz6i,whole-sweep-3,0.6,280,0,-1,18.741436004638672
79,g0ktlz6i,whole-sweep-3,0.6,439,0,-1,29.047741651535034
80,g0ktlz6i,whole-sweep-3,0.6,266,0,-1,17.680667400360107
81,g0ktlz6i,whole-sweep-3,0.6,291,0,-1,19.27951955795288
82,g0ktlz6i,whole-sweep-3,0.6,659,0,-1,44.905335903167725
83,g0ktlz6i,whole-sweep-3,0.6,300,0,-1,20.063369512557983
84,g0ktlz6i,whole-sweep-3,0.6,348,0,-1,23.19786834716797
85,g0ktlz6i,whole-sweep-3,0.6,49,0,1,5.630405426025391
86,g0ktlz6i,whole-sweep-3,0.6,392,0,-1,26.165730476379395
87,g0ktlz6i,whole-sweep-3,0.6,550,0,-1,37.09065556526184
88,g0ktlz6i,whole-sweep-3,0.6,281,0,1,21.413162231445312
89,g0ktlz6i,whole-sweep-3,0.6,784,0,-1,53.992323875427246
